gauche;toit;toit ouvrant;capot;sono;hayon;droit;
noir;rouge;false;noir;true;noir;blanc;
rouge;noir;true;noir;false;noir;noir;
rouge;noir;false;noir;true;noir;noir;
blanc;blanc;false;blanc;true;blanc;blanc;
rouge;blanc;true;noir;false;blanc;blanc;
blanc;noir;true;noir;false;noir;noir;
blanc;blanc;true;blanc;false;blanc;noir;
blanc;noir;false;noir;false;noir;noir;
noir;noir;false;noir;true;noir;rouge;
blanc;noir;false;noir;true;noir;noir;
rouge;rouge;true;rouge;true;rouge;noir;
noir;noir;true;noir;false;noir;blanc;
noir;rouge;false;noir;true;blanc;blanc;
rouge;rouge;false;rouge;false;rouge;rouge;
noir;noir;false;noir;true;noir;rouge;
rouge;rouge;false;rouge;true;rouge;noir;
blanc;rouge;false;blanc;true;blanc;noir;
rouge;blanc;false;blanc;true;blanc;blanc;
blanc;rouge;false;rouge;false;noir;rouge;
rouge;rouge;true;rouge;false;rouge;noir;
noir;noir;false;noir;false;noir;rouge;
blanc;rouge;false;rouge;true;rouge;rouge;
blanc;rouge;false;rouge;true;rouge;rouge;
noir;rouge;false;rouge;true;rouge;rouge;
blanc;rouge;false;noir;false;rouge;rouge;
noir;noir;false;noir;false;noir;blanc;
noir;noir;true;noir;false;noir;blanc;
noir;noir;true;noir;false;noir;rouge;
rouge;rouge;true;rouge;true;rouge;rouge;
blanc;blanc;false;blanc;true;blanc;noir;
noir;rouge;true;rouge;true;rouge;rouge;
noir;noir;true;noir;false;noir;rouge;
blanc;noir;false;noir;false;noir;noir;
blanc;blanc;false;blanc;false;noir;noir;
noir;blanc;false;blanc;true;blanc;blanc;
blanc;blanc;false;blanc;false;blanc;blanc;
noir;noir;false;noir;false;noir;blanc;
noir;rouge;true;rouge;false;rouge;rouge;
noir;noir;false;noir;false;noir;noir;
noir;noir;false;noir;true;noir;noir;
blanc;rouge;true;rouge;false;rouge;rouge;
blanc;blanc;true;blanc;false;blanc;noir;
noir;noir;false;noir;true;noir;blanc;
noir;noir;true;noir;false;noir;blanc;
noir;rouge;false;rouge;false;rouge;blanc;
blanc;noir;true;noir;false;noir;noir;
rouge;blanc;false;blanc;false;blanc;blanc;
blanc;blanc;false;blanc;false;blanc;rouge;
noir;rouge;false;rouge;false;rouge;rouge;
blanc;rouge;false;rouge;false;rouge;rouge;
rouge;rouge;false;rouge;true;rouge;rouge;
rouge;noir;true;noir;true;blanc;blanc;
rouge;rouge;true;rouge;false;rouge;blanc;
blanc;rouge;false;rouge;true;rouge;rouge;
blanc;blanc;false;blanc;true;blanc;noir;
noir;noir;false;noir;true;noir;blanc;
noir;noir;false;noir;true;noir;blanc;
noir;blanc;false;blanc;false;blanc;blanc;
blanc;rouge;true;blanc;false;rouge;rouge;
noir;noir;true;noir;false;noir;rouge;
rouge;rouge;false;rouge;true;rouge;blanc;
rouge;rouge;false;rouge;false;rouge;rouge;
blanc;rouge;false;rouge;true;rouge;rouge;
rouge;rouge;false;rouge;true;rouge;blanc;
rouge;blanc;true;blanc;false;blanc;blanc;
blanc;blanc;true;blanc;false;blanc;noir;
rouge;rouge;false;blanc;false;rouge;rouge;
noir;rouge;false;rouge;false;rouge;rouge;
blanc;blanc;false;blanc;false;blanc;noir;
rouge;rouge;true;rouge;false;rouge;noir;
noir;blanc;false;blanc;false;blanc;blanc;
blanc;noir;false;noir;false;noir;noir;
blanc;rouge;false;rouge;true;rouge;blanc;
noir;noir;false;noir;false;noir;rouge;
rouge;rouge;true;rouge;false;rouge;noir;
noir;noir;true;noir;false;noir;noir;
rouge;blanc;true;blanc;false;blanc;blanc;
blanc;blanc;false;blanc;true;blanc;noir;
rouge;blanc;true;blanc;false;blanc;blanc;
rouge;rouge;false;rouge;true;rouge;blanc;
noir;noir;true;noir;false;noir;noir;
noir;blanc;false;blanc;false;blanc;blanc;
noir;blanc;true;blanc;false;blanc;blanc;
blanc;rouge;false;rouge;true;rouge;rouge;
blanc;blanc;false;blanc;false;blanc;rouge;
rouge;rouge;false;rouge;true;blanc;noir;
rouge;blanc;false;blanc;true;blanc;blanc;
blanc;rouge;true;rouge;false;rouge;rouge;
rouge;rouge;true;rouge;false;noir;noir;
blanc;blanc;false;blanc;true;blanc;rouge;
blanc;blanc;false;blanc;true;blanc;rouge;
rouge;blanc;false;noir;false;rouge;blanc;
rouge;rouge;false;rouge;true;rouge;blanc;
noir;noir;false;noir;true;noir;rouge;
blanc;rouge;true;rouge;false;rouge;rouge;
noir;noir;false;blanc;false;blanc;blanc;
noir;noir;false;noir;true;noir;blanc;
noir;noir;true;noir;false;noir;rouge;
noir;noir;false;noir;false;noir;rouge;
noir;noir;false;rouge;false;noir;noir;
rouge;rouge;true;rouge;false;rouge;noir;
blanc;rouge;false;rouge;false;rouge;noir;
blanc;rouge;false;rouge;true;blanc;rouge;
blanc;rouge;false;rouge;true;rouge;rouge;
blanc;blanc;false;blanc;false;blanc;rouge;
noir;rouge;true;rouge;false;rouge;rouge;
rouge;noir;false;noir;true;noir;noir;
blanc;blanc;false;blanc;false;blanc;rouge;
blanc;blanc;false;blanc;true;blanc;blanc;
noir;blanc;false;blanc;false;blanc;blanc;
noir;blanc;false;blanc;false;blanc;blanc;
noir;noir;false;noir;false;noir;blanc;
rouge;rouge;false;rouge;false;rouge;rouge;
noir;noir;false;rouge;false;noir;rouge;
rouge;rouge;false;rouge;true;rouge;blanc;
rouge;noir;true;noir;false;noir;noir;
rouge;rouge;false;rouge;true;rouge;rouge;
noir;rouge;true;rouge;false;rouge;rouge;
noir;rouge;false;rouge;true;rouge;rouge;
rouge;rouge;false;rouge;true;rouge;blanc;
rouge;rouge;false;rouge;false;rouge;blanc;
rouge;rouge;false;rouge;false;rouge;blanc;
rouge;rouge;true;rouge;false;rouge;blanc;
blanc;blanc;true;blanc;false;blanc;blanc;
rouge;blanc;false;blanc;false;blanc;blanc;
